TM - Harmonized Term,Bloqueado por,Bloqueando,Country,Data,ID,Property is linked to EU terms or other Harmonized Terms,Related FB:properties,Rollup,Subitem,TC - Adopted definition,TC - Article ID (it depends of the country),TC - Expert Definition (English),TC - Expert Definition (Native Language)),TC - Explicit Definition (English),"TC - Explicit Definition (Native Language) ",TC - FB:Domains,TC - Fire Expert Entity,TC - Fire Expert Guidance,TC - Implicit Definition  (English),TC - Implicit Definition  (Native Language),TC - Last Edition,TD - Comment IFC,TD - IFC Entity,TD - Mapping IFC,TD - Type,TD - Unit,TD - Value,TM - Designators,TM - Equivalent Term,TM - FB:documents,TM - Fire Expert Validation,TM - Name (English),TM - Name (native language),TM - Remarks,TR - Code,TR - Definition (English),TR - Definition (Native Language),TR - Derivation,TR - Domain,TR - Domains,TR - FB:articles,TR - FB:articles (WIP),TR - ISO definition,TR - Interpretation level,TR - Language,TR - Remarks,TR - SO Term IRI,TR - Status,item principal
FunctionTypeAssemblyFunction,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,270,,,,,Explicit Definition,Bbl - Bijlage 1,NA,NA,"Functional unit for gatherings of persons for art, culture, religion, communication, child care, the distribution of refreshments for consumption on the premises or watching sports ","Gebruiksfunctie voor het samenkomen van personen voor kunst, cultuur, godsdienst, communicatie, kinderopvang, het verstrekken van consumpties voor het gebruik ter plaatse of het aanschouwen van sport",0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),NA,NA,NA,NA,"January 6, 2026 1:14 PM",,,,property,[-],Boolean (yes/no),NA,NA,Besluit bouwwerken leefomgeving (https://www.notion.so/Besluit-bouwwerken-leefomgeving-4a6e62f14aef4dd896dd88c15158c5f2?pvs=21),Yes,Assembly function,Bijeenkomstfunctie,NA,,"functional unit for gatherings of persons for
  art, culture, religion, communication, child care, the distribution of
  refreshments for consumption on the premises or watching sports ","gebruiksfunctie voor het samenkomen van personen voor
  kunst, cultuur, godsdienst, communicatie, kinderopvang, het verstrekken van
  consumpties voor het gebruik ter plaatse of het aanschouwen van sport",,Generic; Function type,"0. BUILDING INFORMATION, 1.1 Compartment Size, 2. EVACUATION",,,,Definition found on local regulation document,nl-NL,NA,NA,To be reviewed,
FunctionTypeChildCare,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,262,,,,,Explicit Definition,Bbl - Bijlage 1,NA,NA,"Functional unit for the commercial provision of care, education, and supervision for children who have not yet terminated their primary education, other than family day care as referred to in the Child Care and Nursery Schools Quality Requirements Act [Wet kinderopvang en kwaliteitseisen peuterspeelzalen] ","Gebruiksfunctie voor het bedrijfsmatig opvangen, verzorgen, opvoeden en begeleiden van kinderen die het basisonderwijs nog niet hebben beëindigd, niet zijnde gastouderopvang als bedoeld in de Wet kinderopvang;",0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),NA,NA,NA,NA,"January 6, 2026 1:14 PM",,,,property,[-],Boolean (yes/no),NA,NA,Besluit bouwwerken leefomgeving (https://www.notion.so/Besluit-bouwwerken-leefomgeving-4a6e62f14aef4dd896dd88c15158c5f2?pvs=21),Yes,Assembly function for child care,Bijeenkomstfunctie: voor kinderopvang,NA,,"assembly
  function for the commercial provision of care, education, and supervision for
  children who have not yet terminated their primary education, other than
  family day care as referred to in the Child Care and Nursery Schools Quality
  Requirements Act [Wet kinderopvang en kwaliteitseisen peuterspeelzalen] ","bijeenkomstfunctie voor het
  bedrijfsmatig opvangen, verzorgen, opvoeden en begeleiden van kinderen die
  het basisonderwijs nog niet hebben beëindigd, niet zijnde gastouderopvang als
  bedoeld in de Wet kinderopvang;",,Generic; Function type,"0. BUILDING INFORMATION, 1.1 Compartment Size, 2. EVACUATION",,,,Definition found on local regulation document,nl-NL,NA,NA,To be reviewed,
FunctionTypeDetention,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,259,,,,,Explicit Definition,Bbl - Bijlage 1,NA,NA,Functional unit for the detention of persons,Gebruiksfunctie voor dwangverblijf van personen,0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),NA,NA,NA,NA,"January 6, 2026 1:14 PM",,,,property,[-],Boolean (yes/no),NA,NA,Besluit bouwwerken leefomgeving (https://www.notion.so/Besluit-bouwwerken-leefomgeving-4a6e62f14aef4dd896dd88c15158c5f2?pvs=21),Yes,Detention function,Celfunctie,NA,,functional unit for the detention of persons,gebruiksfunctie voor dwangverblijf van personen,,Generic; Function type,"0. BUILDING INFORMATION, 1.1 Compartment Size, 2. EVACUATION",,,,Definition found on local regulation document,nl-NL,NA,NA,To be reviewed,
FunctionTypeEducational,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,263,,,,,Explicit Definition,Bbl - Bijlage 1,NA,NA,Functional unit for teaching,Gebruiksfunctie voor het geven van onderwijs,0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),,NA,NA,NA,"January 6, 2026 1:14 PM",,,,property,[-],Boolean (yes/no),NA,NA,Besluit bouwwerken leefomgeving (https://www.notion.so/Besluit-bouwwerken-leefomgeving-4a6e62f14aef4dd896dd88c15158c5f2?pvs=21),Yes,Educational function,Onderwijsunfctie,NA,,"functional
  unit for teaching","gebruiksfunctie
  voor het geven van onderwijs",,Generic; Function type,"0. BUILDING INFORMATION, 1.1 Compartment Size, 2. EVACUATION",,,,Definition found on local regulation document,nl-NL,NA,NA,To be reviewed,
EscapeRoute,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,258,,,,,Explicit Definition,Bbl - Bijlage 1,,NA,"Route that starts in a space for people, only runs over floors, stairs or ramps and ends in a safe place, without the need to use a lift","Route die begint in ruimte voor personen, alleen voert over vloeren, trappen of hellingbanen en eindigt op een veilige plaats, zonder dat gebruik moet worden gemaakt van een lift",2.  EVACUATION (https://www.notion.so/2-EVACUATION-24ef8487e6e780c5a41adabca41a0153?pvs=21),NA,NA,NA,NA,"January 6, 2026 1:14 PM",,,,property,[-],Boolean (yes/no),NA,NA,Besluit bouwwerken leefomgeving (https://www.notion.so/Besluit-bouwwerken-leefomgeving-4a6e62f14aef4dd896dd88c15158c5f2?pvs=21),Yes,Escape route,Vluchtroute,NA,,"route that starts in a space for people, only
  runs over floors, stairs or ramps and ends in a safe place, without the need
  to use a lift","route die begint in ruimte voor personen, alleen voert over
  vloeren, trappen of hellingbanen en eindigt op een veilige plaats, zonder dat
  gebruik moet worden gemaakt van een lift",,Generic; Function type,2. EVACUATION,,,,Definition found on local regulation document,nl-NL,NA,NA,To be reviewed,
FunctionTypeHealthCare,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,222,,,,,Explicit Definition,Bbl - Bijlage 1,NA,NA,"Functional unit for medical examinations, nursing, care or treatment","Gebruiksfunctie voor medisch onderzoek, verpleging, verzorging of behandeling",0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),NA,Additional check needed for healthcare function types from fire expert,NA,NA,"January 6, 2026 1:14 PM",,,,property,[-],Boolean (yes/no),NA,NA,Besluit bouwwerken leefomgeving (https://www.notion.so/Besluit-bouwwerken-leefomgeving-4a6e62f14aef4dd896dd88c15158c5f2?pvs=21),Yes,Health care function,Gezondsheidszorgfunctie,NA,,"functional
  unit for medical examinations, nursing, care or treatment","gebruiksfunctie
  voor medisch onderzoek, verpleging, verzorging of behandeling",,Generic; Function type,"0. BUILDING INFORMATION, 1.1 Compartment Size, 2. EVACUATION",,,,Definition found on local regulation document,nl-NL,NA,NA,To be reviewed,
FunctionTypeHealthCareWithBedArea,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,269,,,,,Explicit Definition,Bbl - Bijlage 1,NA,NA,Health care function with bed area,Gezondsheidszorgfunctie: met bedgebied,0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),NA,Additional check needed for healthcare function types from fire expert,NA,NA,"January 6, 2026 1:14 PM",,,,property,[-],Boolean (yes/no),NA,NA,Besluit bouwwerken leefomgeving (https://www.notion.so/Besluit-bouwwerken-leefomgeving-4a6e62f14aef4dd896dd88c15158c5f2?pvs=21),Yes,Health care function: with bed area,Gezondsheidszorgfunctie: met bedgebied,NA,,health care function with bed area,gezondsheidszorgfunctie: met bedgebied,,Generic; Function type,"0. BUILDING INFORMATION, 1.1 Compartment Size, 2. EVACUATION",,,,Definition found on local regulation document,nl-NL,NA,NA,To be reviewed,
FunctionTypeIndustrial,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,211,,,,,Explicit Definition,Bbl - Bijlage 1,NA,NA,"Functional unit for the commercial processing or storage of materials and goods, or for agricultural purposes","Gebruiksfunctie voor het bedrijfsmatig bewerken of opslaan van materialen en goederen, of voor agrarische doeleinden",0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),NA,NA,NA,NA,"January 6, 2026 1:14 PM",,,,property,[-],Boolean (yes/no),NA,NA,Besluit bouwwerken leefomgeving (https://www.notion.so/Besluit-bouwwerken-leefomgeving-4a6e62f14aef4dd896dd88c15158c5f2?pvs=21),Yes,Industrial function,Industriefunctie,NA,,"functional
  unit for the commercial processing or storage of materials and goods, or for
  agricultural purposes","gebruiksfunctie
  voor het bedrijfsmatig bewerken of opslaan van materialen en goederen, of
  voor agrarische doeleinden",,Generic; Function type,"0. BUILDING INFORMATION, 1.1 Compartment Size, 2. EVACUATION",,,,Definition found on local regulation document,nl-NL,NA,NA,To be reviewed,
FunctionTypeLightIndustrial,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,245,,,,,Explicit Definition,Bbl - Bijlage 1,NA,NA,Industrial function where activities take place in which the staying of persons plays a subordinate role,"Industriefunctie waarin activiteiten plaatsvinden, waarbij het verblijven van personen een ondergeschikte rol speelt",0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),NA,NA,NA,NA,"January 6, 2026 1:14 PM",,,,property,[-],Boolean (yes/no),NA,NA,Besluit bouwwerken leefomgeving (https://www.notion.so/Besluit-bouwwerken-leefomgeving-4a6e62f14aef4dd896dd88c15158c5f2?pvs=21),Yes,Industrial function: light industrial function,Industriefunctie: lichte industriefunctie,NA,,"industrial function where activities take place
  in which the staying of persons plays a subordinate role","industriefunctie waarin activiteiten plaatsvinden, waarbij
  het verblijven van personen een ondergeschikte rol speelt",,Generic; Function type,"0. BUILDING INFORMATION, 1.1 Compartment Size, 2. EVACUATION",,,,Definition found on local regulation document,nl-NL,NA,NA,To be reviewed,
FunctionTypeLightIndustrialAnimals,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,257,,,,,Explicit Definition,Bbl - Bijlage 1,NA,NA,Light industrial function in which animals as referred to in Annex II to the Decree on Animal Keepers (bijlage II bij het Besluit houders voor dieren) are kept,"Lichte industriefunctie waarin dieren als bedoeld in bijlage II bij het Besluit houders voor dieren, worden gehouden",0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),NA,NA,NA,NA,"January 6, 2026 1:14 PM",,,,,[-],Boolean (yes/no),NA,NA,Besluit bouwwerken leefomgeving (https://www.notion.so/Besluit-bouwwerken-leefomgeving-4a6e62f14aef4dd896dd88c15158c5f2?pvs=21),Yes,Industrial function: light industrial function for keeping animals,Industriefunctie: lichte industriefunctie voor het houden van dieren,NA,,"light
  industrial function in which animals as referred to in Annex II to the Decree
  on Animal Keepers (bijlage II bij het Besluit houders voor dieren) are kept","lichte
  industriefunctie waarin dieren als bedoeld in bijlage II bij het Besluit
  houders voor dieren, worden gehouden",,Generic; Function type,"0. BUILDING INFORMATION, 1.1 Compartment Size",,,,Definition found on local regulation document,nl-NL,NA,NA,To be reviewed,
FunctionTypeOffice,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,197,,,,,Explicit Definition,Bbl - Bijlage 1,NA,NA,Functional unit for office administration,Gebruiksfunctie voor administratie,0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),NA,NA,NA,NA,"January 6, 2026 1:14 PM",,,,property,[-],Boolean (yes/no),NA,NA,Besluit bouwwerken leefomgeving (https://www.notion.so/Besluit-bouwwerken-leefomgeving-4a6e62f14aef4dd896dd88c15158c5f2?pvs=21),Yes,Office function,Kantoorfunctie,NA,,functional unit for office administration,gebruiksfunctie voor administratie,,Generic; Function type,"0. BUILDING INFORMATION, 1.1 Compartment Size, 2. EVACUATION",,,,Definition found on local regulation document,nl-NL,NA,NA,To be reviewed,
FunctionTypeRemainingUse,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,249,,,,,Explicit Definition,Bbl - Bijlage 1,NA,NA,"Functional unit, not already categorized, for activities where staying by persons plays a subordinate role",Nog niet benoemde gebruiksfunctie voor activiteiten waarbij het verblijven van personen een ondergeschikte rol speelt,0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),NA,NA,NA,NA,"January 6, 2026 1:14 PM",,,,property,[-],Boolean (yes/no),NA,NA,Besluit bouwwerken leefomgeving (https://www.notion.so/Besluit-bouwwerken-leefomgeving-4a6e62f14aef4dd896dd88c15158c5f2?pvs=21),Yes,Remaining functional use,Overige gebruiksfunctie,NA,,"functional
  unit, not listed in this paragraph, for activities where staying by persons
  plays a subordinate role","niet in dit lid
  benoemde gebruiksfunctie voor activiteiten waarbij het verblijven van
  personen een ondergeschikte rol speelt",,Generic; Function type,"0. BUILDING INFORMATION, 1.1 Compartment Size, 2. EVACUATION",,,,Definition found on local regulation document,nl-NL,NA,NA,To be reviewed,
FunctionTypeRemainingUseParkingVehicles,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,238,,,,,Explicit Definition,Bbl - Bijlage 1,NA,NA,Remaining functional unit intented for parking motor vehicles,Overige gebruiksfunctie bedoeld voor het parkeren van motorvoertuigen,0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),NA,NA,NA,NA,"January 6, 2026 1:14 PM",,,,property,[-],Boolean (yes/no),NA,NA,Besluit bouwwerken leefomgeving (https://www.notion.so/Besluit-bouwwerken-leefomgeving-4a6e62f14aef4dd896dd88c15158c5f2?pvs=21),Yes,Remaining functional use: for parking motor vehicles,Overige gebruiksfunctie: voor het stallen van motorvoertuigen,NA,,"other functional unit intented for parking
  motor vehicles","andere functionele eenheid bedoeld voor het parkeren van
  motorvoertuigen",,Generic; Function type,"0. BUILDING INFORMATION, 1.1 Compartment Size, 2. EVACUATION",,,,Definition found on local regulation document,nl-NL,NA,NA,To be reviewed,
FunctionTypeRemainingUsePassengerTransport,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,260,,,,,Explicit Definition,Bbl - Bijlage 1,NA,NA,"Remaining functional unit intended for the arrival or departure of vehicles for thetransport of passengers by road, railway, waterway or air","Overige gebruiksfunctie die bestemd is voor aankomst of vertrek van vervoermiddelen ten behoeve van weg-, spoorweg-, water- of luchtverkeer van personen",0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),NA,NA,NA,NA,"January 6, 2026 1:14 PM",,,,property,[-],Boolean (yes/no),NA,NA,Besluit bouwwerken leefomgeving (https://www.notion.so/Besluit-bouwwerken-leefomgeving-4a6e62f14aef4dd896dd88c15158c5f2?pvs=21),Yes,Remaining functional use: other passenger transport function:,Overige gebruiksfunctie: voor het personenvervoer,NA,,"other
  functional unit intended for the arrival or departure of vehicles for the
  transport of passengers by road, railway, waterway or air","overige
  gebruiksfunctie die bestemd is voor aankomst of vertrek van vervoermiddelen
  ten behoeve van weg-, spoorweg-, water- of luchtverkeer van personen; ",,Generic; Function type,"0. BUILDING INFORMATION, 1.1 Compartment Size, 2. EVACUATION",,,,Definition found on local regulation document,nl-NL,NA,NA,To be reviewed,
FunctionTypeResidential,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,220,,,,,Explicit Definition,Bbl - Bijlage 1,NA,NA,Functional unit for residential use,Gebruiksfunctie voor het wonen,0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),NA,NA,NA,NA,"January 6, 2026 1:14 PM",,,,property,[-],Boolean (yes/no),NA,NA,Besluit bouwwerken leefomgeving (https://www.notion.so/Besluit-bouwwerken-leefomgeving-4a6e62f14aef4dd896dd88c15158c5f2?pvs=21),Yes,Residential function,Woonfunctie,NA,,functional unit for residential use,gebruiksfunctie voor het wonen,,Generic; Function type,"0. BUILDING INFORMATION, 1.1 Compartment Size, 2. EVACUATION",,,,Definition found on local regulation document,nl-NL,NA,NA,To be reviewed,
FunctionTypeResidentialCaravan,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,214,,,,,Explicit Definition,Bbl - Bijlage 1,NA,NA,Residential function on a plot intended for a caravan,Woonfunctie op een perceel bestemd voor het plaatsen van een woonwagen,0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),NA,NA,NA,NA,"January 6, 2026 1:14 PM",,,,property,[-],Boolean (yes/no),NA,NA,Besluit bouwwerken leefomgeving (https://www.notion.so/Besluit-bouwwerken-leefomgeving-4a6e62f14aef4dd896dd88c15158c5f2?pvs=21),Yes,Residential function: caravan,Woonfunctie: woonwagen,NA,,"residential
  function on a plot intended for a caravan","woonfunctie op
  een perceel bestemd voor het plaatsen van een woonwagen.",,Generic; Function type,"0. BUILDING INFORMATION, 1.1 Compartment Size, 2. EVACUATION",,,,Definition found on local regulation document,nl-NL,NA,NA,To be reviewed,
FunctionTypeShop,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,206,,,,,Explicit Definition,Bbl - Bijlage 1,NA,NA,"Functional unit for trading materials, goods or services","Gebruiksfunctie voor het verhandelen van materialen, goederen of diensten",0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),NA,NA,NA,NA,"January 6, 2026 1:14 PM",,,,property,[-],Boolean (yes/no),NA,NA,Besluit bouwwerken leefomgeving (https://www.notion.so/Besluit-bouwwerken-leefomgeving-4a6e62f14aef4dd896dd88c15158c5f2?pvs=21),Yes,Shop function,Winkelfunctie,NA,,"functional unit for trading materials, goods or
  services","gebruiksfunctie voor het verhandelen van materialen,
  goederen of diensten",,Generic; Function type,"0. BUILDING INFORMATION, 1.1 Compartment Size, 2. EVACUATION",,,,Definition found on local regulation document,nl-NL,NA,NA,To be reviewed,
FunctionTypeSports,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,237,,,,,Explicit Definition,Bbl - Bijlage 1,NA,NA,Functional unit for playing sports,Gebruiksfunctie voor het beoefenen van sport,0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),NA,NA,NA,NA,"January 6, 2026 1:14 PM",,,,property,[-],Boolean (yes/no),NA,NA,Besluit bouwwerken leefomgeving (https://www.notion.so/Besluit-bouwwerken-leefomgeving-4a6e62f14aef4dd896dd88c15158c5f2?pvs=21),Yes,Sports function,Sportfunctie,NA,,"functional
  unit for playing sports","gebruiksfunctie
  voor het beoefenen van sport",,Generic; Function type,"0. BUILDING INFORMATION, 1.1 Compartment Size, 2. EVACUATION",,,,Definition found on local regulation document,nl-NL,NA,NA,To be reviewed,
FunctionTypeNotBuilding,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,261,,,,,Explicit Definition,Bbl - Bijlage 1,NA,NA,"Building or part thereof, insofar as it is not a building or part thereof","Bouwwerk of gedeelte daarvan, voor zover dat geen gebouw of onderdeel daarvan is",0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),NA,NA,NA,NA,"January 6, 2026 1:14 PM",,,,property,[-],Boolean (yes/no),NA,NA,Besluit bouwwerken leefomgeving (https://www.notion.so/Besluit-bouwwerken-leefomgeving-4a6e62f14aef4dd896dd88c15158c5f2?pvs=21),Yes,Structure other than a building,Bouwwerk geen gebouw zijnde,NA,,"building or part thereof, insofar as it is not
  a building or part thereof","bouwwerk of gedeelte daarvan, voor zover dat geen gebouw of
  onderdeel daarvan is",,Generic; Function type,0. BUILDING INFORMATION,,,,Definition found on local regulation document,nl-NL,NA,NA,To be reviewed,
FunctionTypeTemporaryAccomodation,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,218,,,,,Explicit Definition,Bbl - Bijlage 1,NA,NA,Functional unit intended to provide recreational or temporary accommodation to persons,Gebruiksfunctie voor het bieden van recreatief verblijf of tijdelijk onderdak aan personen,0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),NA,NA,NA,NA,"January 6, 2026 1:14 PM",,,,property,[-],Boolean (yes/no),NA,NA,Besluit bouwwerken leefomgeving (https://www.notion.so/Besluit-bouwwerken-leefomgeving-4a6e62f14aef4dd896dd88c15158c5f2?pvs=21),Yes,Temporary accomodation function,Logiesfunctie,NA,,"functional
  unit intended to provide recreational or temporary accommodation to persons","gebruiksfunctie
  voor het bieden van recreatief verblijf of tijdelijk onderdak aan personen",,Generic; Function type,"0. BUILDING INFORMATION, 1.1 Compartment Size, 2. EVACUATION",,,,Definition found on local regulation document,nl-NL,NA,NA,To be reviewed,
DetatchedBuildingConstruction,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,230,,,,,Explicit Definition,Bbl - Bijlage 1,NA,NA,"A building structure that is freestanding within one space, for example a column","Een bouwconstructie die binnen één ruimte vrijstaand is ,bijvoorbeeld een kolom",0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),NA,NA,NA,NA,"January 6, 2026 1:14 PM",,,,property,[-],Boolean (yes/no),NA,NA,Besluit bouwwerken leefomgeving (https://www.notion.so/Besluit-bouwwerken-leefomgeving-4a6e62f14aef4dd896dd88c15158c5f2?pvs=21),Yes,Detached building construction,Vrijstaande bouwconstructie,NA,,"A building structure that is freestanding
  within one space, for example a column","Een bouwconstructie die binnen één ruimte vrijstaand is ,
  bijvoorbeeld een kolom",,Generic,Generic,,,,Definition found on local regulation document,nl-NL,link to “useable area”,NA,To be reviewed,
UseableAreaHeightAboveFloor,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,201,,,,,Expert definition,"NEN 2580:2007/C1:2008 ","Loodrechte afstand tussen de bovenkant van een afgewerkte vloer of het aansluitende terrein en de onderkant van een daarboven aanwezig plafond, vloer of dak, waarbij incidentele constructiedelen buiten beschouwing worden gelaten","Perpendicular distance between the top of a finished floor or adjacent area and the bottom of a ceiling, floor or roof above it, excluding incidental structural elements",NA,NA,"1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.0 Assign Compartment (https://www.notion.so/1-0-Assign-Compartment-24ef8487e6e78092adc5dcef0dc14e37?pvs=21), 1.1 Compartment Size (https://www.notion.so/1-1-Compartment-Size-24ef8487e6e780bab878d5d61d71922b?pvs=21), 2.  EVACUATION (https://www.notion.so/2-EVACUATION-24ef8487e6e780c5a41adabca41a0153?pvs=21)",Integrale Nota van Toelichting behorende bij Besluit Bouwwerken Leefomgeving,NA,NA,NA,"January 6, 2026 1:14 PM",,,,property,m,Number,NA,NA,NEN 2580:2007/C1:2008  (https://www.notion.so/NEN-2580-2007-C1-2008-233f8487e6e780aa842fddf4adeb9ecd?pvs=21),Yes,Net height above floor,Netto-hoogte boven vloer,NA,,"perpendicular
  distance between the top of a finished floor or adjacent area and the bottom
  of a ceiling, floor or roof above it, excluding incidental structural
  elements"," loodrechte
  afstand tussen de bovenkant van een afgewerkte vloer of het aansluitende
  terrein en de onderkant van een daarboven aanwezig plafond, vloer of dak,
  waarbij incidentele constructiedelen buiten beschouwing worden gelaten",,Fire Compartment,"0. BUILDING INFORMATION, 1.0 Assign compartment, 1.1 Compartment Size",,,,Definition found on local regulation document,nl-NL,link to “useable area”,NA,To be reviewed,
UseableAreaNiche,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,252,,,,,Implicit definition,"NEN 2580:2007/C1:2008 ",NA,NA,NA,NA,"1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.1 Compartment Size (https://www.notion.so/1-1-Compartment-Size-24ef8487e6e780bab878d5d61d71922b?pvs=21)",NA,NA,Niche,Nis,"January 6, 2026 1:14 PM",,,,property,m²,Number,NA,NA,NEN 2580:2007/C1:2008  (https://www.notion.so/NEN-2580-2007-C1-2008-233f8487e6e780aa842fddf4adeb9ecd?pvs=21),Yes,Niche,Nis,NA,,usable area of niche,gebruiksoppervlak van nis,,Fire Compartment area,"1.1 Compartment Size, Generic",,,,Definition found on local regulation document,nl-NL,link to “useable area”,NA,To be reviewed,
UseableAreaPipeShaft,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,212,,,,,Explicit Definition,NEN2580:2007,NA,NA,Leidingschacht,Pipe shaft,"1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.1 Compartment Size (https://www.notion.so/1-1-Compartment-Size-24ef8487e6e780bab878d5d61d71922b?pvs=21)",NA,NA,NA,NA,"January 6, 2026 1:14 PM",,,,property,m²,Number,NA,NA,NEN 2580:2007/C1:2008  (https://www.notion.so/NEN-2580-2007-C1-2008-233f8487e6e780aa842fddf4adeb9ecd?pvs=21),Yes,"Pipe shaft ",Leidingschacht,NA,,"usable
  area of pipe shaft","gebruiksoppervlak
  van leidingschacht",,"Fire Compartment area ",1.1 Compartment Size,,,,Definition found on local regulation document,nl-NL,link to “useable area”,NA,To be reviewed,
